Province,District,Village,Crop_livestock,Coverage,Month,Value,Management Practices,Comments
KP,Chitral,Shagram,Wheat,30,Jan,Growing,,
KP,Chitral,Shagram,Wheat,30,Feb,Growing,,
KP,Chitral,Shagram,Wheat,30,Mar,Growing,Irrigation,
KP,Chitral,Shagram,Wheat,30,Apr,Growing,"Irrigation, and Fertilizer application",
KP,Chitral,Shagram,Wheat,30,May,Growing,Irrigation,
KP,Chitral,Shagram,Wheat,30,Jun,Growing,"Irrigation, Pest management, and Weed management",
KP,Chitral,Shagram,Wheat,30,Jul,Harvesting,Harvesting,
KP,Chitral,Shagram,Wheat,30,Aug,,,
KP,Chitral,Shagram,Wheat,30,Sep,,,
KP,Chitral,Shagram,Wheat,30,Oct,Planting,Planting,
KP,Chitral,Shagram,Wheat,30,Nov,Growing,,
KP,Chitral,Shagram,Wheat,30,Dec,Growing,,
KP,Chitral,Shagram,Potato,30,Jan,,,
KP,Chitral,Shagram,Potato,30,Feb,,,
KP,Chitral,Shagram,Potato,30,Mar,,,
KP,Chitral,Shagram,Potato,30,Apr,Planting,"Planting, Irrigation, and Fertilizer application",
KP,Chitral,Shagram,Potato,30,May,Growing,"Irrigation, Pest management, and Weed management",
KP,Chitral,Shagram,Potato,30,Jun,Growing,"Irrigation, and Fertilizer application",
KP,Chitral,Shagram,Potato,30,Jul,Growing,Irrigation,
KP,Chitral,Shagram,Potato,30,Aug,Harvesting,"Irrigation, and Harvesting",
KP,Chitral,Shagram,Potato,30,Sep,,,
KP,Chitral,Shagram,Potato,30,Oct,,,
KP,Chitral,Shagram,Potato,30,Nov,,,
KP,Chitral,Shagram,Potato,30,Dec,,,
KP,Chitral,Shagram,Maize (Fodder),20,Jan,,,
KP,Chitral,Shagram,Maize (Fodder),20,Feb,,,
KP,Chitral,Shagram,Maize (Fodder),20,Mar,,,
KP,Chitral,Shagram,Maize (Fodder),20,Apr,,,
KP,Chitral,Shagram,Maize (Fodder),20,May,Planting,"Planting, Irrigation, Fertilizer application, Pest and Weed management",
KP,Chitral,Shagram,Maize (Fodder),20,Jun,Growing,"Irrigation, Fertilizer application, Pest and Weed management",
KP,Chitral,Shagram,Maize (Fodder),20,Jul,Harvesting,Harvesting,
KP,Chitral,Shagram,Maize (Fodder),20,Aug,,,
KP,Chitral,Shagram,Maize (Fodder),20,Sep,,,
KP,Chitral,Shagram,Maize (Fodder),20,Oct,,,
KP,Chitral,Shagram,Maize (Fodder),20,Nov,,,
KP,Chitral,Shagram,Maize (Fodder),20,Dec,,,
