province,district,village,sector,crop_livestock,value
KP,Chitral,,Crops,Potato,1388.5
KP,Chitral,,Crops,Apricot,52
KP,Chitral,,Crops,Wheat,8139
KP,Chitral,,Crops,Maize,5518
KP,Chitral,,Crops,Rice,1855
KP,Chitral,,Crops,Barley,1724
KP,Chitral,,Crops,Bajra,67
KP,Chitral,,Crops,Walnut,95
KP,Chitral,,Crops,Apple,250.5
KP,Chitral,,Crops,Pear,81
KP,Chitral,,Crops,Onion,372.5
KP,Chitral,,Livestock,Poultry,474500
KP,Chitral,,Livestock,Goats,386000
KP,Chitral,,Livestock,Sheep,185650
KP,Chitral,,Livestock,Cattle,170000
KP,Chitral,,Livestock,Assess,3725
KP,Chitral,,Livestock,Buffaloes,0
KP,Chitral,,Livestock,Horse,410
KP,Chitral,,Livestock,Yak,4090
KP,Chitral,,Production,Potato,42321
KP,Chitral,,Production,Apricot,269.8
KP,Chitral,,Production,Wheat,15123
KP,Chitral,,Production,Maize,13464
KP,Chitral,,Production,Rice,3710
KP,Chitral,,Production,Barley,2413
KP,Chitral,,Production,Bajra,73.7
KP,Chitral,,Production,Walnut,1140
KP,Chitral,,Production,Apple,1660.7
KP,Chitral,,Production,Pear,478.6
KP,Chitral,,Production,Onion,4581
KP,D.I Khan,,Crops,Wheat,43210
KP,D.I Khan,,Crops,Sugarcane ,26762
KP,D.I Khan,,Crops,Rice,12733
KP,D.I Khan,,Crops,Gram  ,6078
KP,D.I Khan,,Crops,Maize ,1564
KP,D.I Khan,,Crops,Jowar ,1268
KP,D.I Khan,,Crops,Cotton ,966
KP,D.I Khan,,Crops,Rape seed mustard ,845
KP,D.I Khan,,Crops,Bajra,464
KP,D.I Khan,,Crops,Barley ,267
KP,D.I Khan,,Livestock,Poultry,1280079
KP,D.I Khan,,Livestock,Goats,583923
KP,D.I Khan,,Livestock,Cattle,411432
KP,D.I Khan,,Livestock,Sheep,248491
KP,D.I Khan,,Livestock,Buffaloes,205634
KP,D.I Khan,,Livestock,Assess,43254
KP,D.I Khan,,Livestock,Camel,12930
KP,D.I Khan,,Production,Wheat,82797
KP,D.I Khan,,Production,Sugarcane ,1236136
KP,D.I Khan,,Production,Rice,29943
KP,D.I Khan,,Production,Gram  ,4482
KP,D.I Khan,,Production,Maize ,3888
KP,D.I Khan,,Production,Jowar ,721
KP,D.I Khan,,Production,Cotton ,501
KP,D.I Khan,,Production,Rape seed mustard ,376
KP,D.I Khan,,Production,Bajra,297
KP,D.I Khan,,Production,Barley ,180
KP,Kurram,,Crops,Wheat,35916
KP,Kurram,,Crops,Rice,5835
KP,Kurram,,Crops,Maize,2310
KP,Kurram,,Crops,Barley,485
KP,Kurram,,Livestock,Poultry,530621
KP,Kurram,,Livestock,Goats,221414
KP,Kurram,,Livestock,Cattle,125865
KP,Kurram,,Livestock,Sheep,78455
KP,Kurram,,Livestock,Assess,3966
KP,Kurram,,Livestock,Buffaloes,3003
KP,Kurram,,Livestock,Mules,901
KP,Kurram,,Livestock,Horse,673
KP,Kurram,,Livestock,Camel,47
KP,Kurram,,Production,Wheat,53352
KP,Kurram,,Production,Rice,21077
KP,Kurram,,Production,Maize,4344
KP,Kurram,,Production,Barley,850
KP,North Waziristan,,Crops,Wheat,8637
KP,North Waziristan,,Crops,Maize,3567
KP,North Waziristan,,Crops,Gram,2913
KP,North Waziristan,,Crops,Rice,63
KP,North Waziristan,,Crops,Sugarcane,43
KP,North Waziristan,,Crops,Barley,20
KP,North Waziristan,,Livestock,Poultry,505521
KP,North Waziristan,,Livestock,Goats,263979
KP,North Waziristan,,Livestock,Sheeps,233561
KP,North Waziristan,,Livestock,Cattle,210480
KP,North Waziristan,,Livestock,Buffaloes,18716
KP,North Waziristan,,Livestock,Assess,16826
KP,North Waziristan,,Livestock,Camel,2746
KP,North Waziristan,,Livestock,Horse,1080
KP,North Waziristan,,Livestock,Mules,436
KP,North Waziristan,,Production,Wheat,11859
KP,North Waziristan,,Production,Maize,1894
KP,North Waziristan,,Production,Gram,1370
KP,North Waziristan,,Production,Rice,93
KP,North Waziristan,,Production,Sugarcane,170
KP,North Waziristan,,Production,Barley,15
KP,Orakzai,,Crops,Wheat,4212
KP,Orakzai,,Crops,Maize,4241
KP,Orakzai,,Crops,Red Beans,300
KP,Orakzai,,Crops,Rice,202
KP,Orakzai,,Crops,Rape seed mustard,195
KP,Orakzai,,Crops,Jowar,77
KP,Orakzai,,Crops,Sugarcane,30
KP,Orakzai,,Crops,Barley,25
KP,Orakzai,,Livestock,Poultry,350735
KP,Orakzai,,Livestock,Goats,112266
KP,Orakzai,,Livestock,Cattle,66671
KP,Orakzai,,Livestock,Sheeps,48907
KP,Orakzai,,Livestock,Assess,13390
KP,Orakzai,,Livestock,Buffaloes,13015
