province,district,crop_livestock,hazard,vc_stage,impact,freq,severity,percentage
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1.Input ,Excess demand for new/improved/tolerant varieties,80,Text here,80
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1.Input ,Poor quality seed,5,Text here,5
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1.Input ,Farmers unable to repay loans,2,Text here,2
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1.Input ,Increased price of 1.Inputs,2,Text here,2
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1.Input ,Damage to nurseries/1.Input store,1,Text here,1
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1.Input ,Reduced access to extension services,1,Text here,1
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1.Input ,"Trouble accessing 1.Inputs (fertilizer, pesticides, seeds, feeds)",1,Text here,1
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,Loss of on-farm income,17,Text here,17
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,High incidence of pest and disease outbreaks,12,Text here,12
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,Need to use more 1.Inputs,7,Text here,7
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,Crops/livestock die or are damaged causing low yields,6,Text here,6
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,Loss of alternative income sources,2,Text here,2
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,More weeds,2,Text here,2
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,Cant work in the field,1,Text here,1
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,Damage to irrigation system,1,Text here,1
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Low quality produce for processing,60,Text here,60
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increase in post-harvest losses,13,Text here,13
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increased storage costs,9,Text here,9
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Need for more processing/ increased processing costs,7,Text here,7
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Processing delayed/disrupted,4,Text here,4
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Difficulty procuring materials for processing,3,Text here,3
